operator_address,moniker,commission_rate,max_rate,delegator_shares,tokens,jailed,status
cosmosvaloper1000ya26q2cmh399q4c5aaacd9lmmdqp90kw2jn,Staking Fund,0.120000000000000000,0.334000000000000000,577468227907.000000000000000000,577468227907,False,BOND_STATUS_BONDED
cosmosvaloper103agss48504gkk3la5xcg5kxplaf6ttnuv234h,MANTRA DAO,0.100000000000000000,0.880000000000000000,28309020091.000000000000000000,28309020091,False,BOND_STATUS_BONDED
cosmosvaloper10nzaaeh2kq28t3nqsh5m8kmyv90vx7ym5mpakx,Blockdaemon,0.100000000000000000,0.200000000000000000,130770672663.000000000000000000,130770672663,False,BOND_STATUS_BONDED
cosmosvaloper10e4vsut6suau8tk9m6dnrm0slgd6npe3jx5xpv,B-Harvest,0.100000000000000000,0.300000000000000000,3105146113628.000000000000000000,3105146113628,False,BOND_STATUS_BONDED
cosmosvaloper106kt5cmued596rqusmthfnh39h38k64e73fxce,SG_NODE,0.075000000000000000,1.000000000000000000,1.000000000000000000,1,False,BOND_STATUS_UNBONDED
cosmosvaloper10m2qyuzp2smf4wqpfzhvlrun9vnf7ts8c72akw,biki-cosval,0.100000000000000000,0.200000000000000000,1000000.000000000000000000,1000000,False,BOND_STATUS_UNBONDED
cosmosvaloper1sxx9mszve0gaedz5ld7qdkjkfv8z992ax69k08,validator.network | Security first. Highly available.,0.100000000000000000,1.000000000000000000,1632393756372.000000000000000000,1632393756372,False,BOND_STATUS_BONDED
cosmosvaloper1sx8wwjyzxsu02mkld488nps8p8anlsr47ygka5,axepool,0.050000000000000000,0.200000000000000000,1100000.000000000000000000,1100000,False,BOND_STATUS_UNBONDED
cosmosvaloper1s24as3xg6kl0u3lvw84j4ges5350u3nwjry4vt,AlienStake.com,0.070000000000000000,0.200000000000000000,1000000.000000000000000000,999900,True,BOND_STATUS_UNBONDED
cosmosvaloper1sd4tl9aljmmezzudugs7zlaya7pg2895ws8tfs,InfStones (Infinity Stones),0.100000000000000000,1.000000000000000000,1893483142459.000000000000000000,1893483142459,False,BOND_STATUS_BONDED
cosmosvaloper1s05va5d09xlq3et8mapsesqh6r5lqy7mkhwshm,Wetez,0.100000000000000000,1.000000000000000000,441283056605.000000000000000000,441283056605,False,BOND_STATUS_BONDED
cosmosvaloper1ssm0d433seakyak8kcf93yefhknjleeds4y3em,IRISnet-Bianjie,0.100000000000000000,1.000000000000000000,2608892625897.000000000000000000,2608892625897,False,BOND_STATUS_BONDED
cosmosvaloper1sjllsnramtg3ewxqwwrwjxfgc4n4ef9u2lcnj0,🐠stake.fish,0.040000000000000000,1.000000000000000000,9556474000469.000000000000000000,9556474000469,False,BOND_STATUS_BONDED
cosmosvaloper1skhpmqtr8nw2takaduwh4ve5zk9pm5h5tnwlsx,Appeal2Heaven,0.250000000000000000,0.500000000000000000,1000000.000000000000000000,1000000,True,BOND_STATUS_UNBONDED
